Name;Energie;Fett;gesättigte Fettsäuren;Kohlenhydrate;Zucker;Eiweiß;Salz;Label
Apfel;52;0,2;0;13,8;11;0,3;0;Eher empfehlenswert
Banane;95;0,3;0,1;21;12;1,1;0,1;Eher empfehlenswert
Haselnussschnitte;542;31,9;18,6;54;42,6;7,6;0,4;Eher nicht empfehlenswert
Gummibärchen;343;0,1;0,1;77;46;6,9;0,07;Eher nicht empfehlenswert
Chips;503;28;2,6;53;2,9;6,3;2,8;Eher nicht empfehlenswert
Salzstangen;392;5,9;0,8;71;3,4;12;4,5;Eher empfehlenswert
Fischstäbchen;195;7,7;0,6;18;0,8;13;1;Eher nicht empfehlenswert
Fritierte Pommes;289;14;1,3;36;0,3;3,4;0,7;Eher nicht empfehlenswert
Nudeln;359;2;0,5;70,9;3,5;12,8;0,01;Eher empfehlenswert
Reis;349;0,9;0,3;77,3;0,3;7,3;0,01;Eher empfehlenswert
Erbsen;86;1;0,2;9,4;3,5;6,4;0,01;Eher empfehlenswert
Eisbergsalat;7;0;0;0,7;0,7;0,5;0,01;Eher empfehlenswert
Möhre;31;0,18;0,1;4,7;4,6;0,9;0,023;Eher empfehlenswert
Frikadelle;294;22;2,8;10,5;2;13,5;1,5;Eher nicht empfehlenswert
Spiegelei;204;17,1;6,1;1;1;11,4;0,54;Eher empfehlenswert
Brötchen;271;1,6;0,5;55;1,2;8;1,7;Eher nicht empfehlenswert
Brotscheibe;229;4,9;0,8;35;2,3;7,7;1,03;Eher empfehlenswert
Knäckebrot;349;3;0,7;61;0,7;12;0,5;Eher empfehlenswert
Zwieback;405;5,2;0,7;74;14;11;0,65;Eher empfehlenswert
Salami;360;30,8;12,8;1,9;1,8;19,7;2,9;Eher nicht empfehlenswert
Gouda;354;27,7;17,9;0;0;26,3;2,17;Eher empfehlenswert
Popcorn;499;23;13,8;57;3,8;10,7;1,8;Eher nicht empfehlenswert
Vanilleeis;207;11;6,7;24;21;3,5;0,08;Eher nicht empfehlenswert
Bratwurst;236;18;7;1;1;18;2;Eher nicht empfehlenswert
Marmorkuchen;447;26;14;54;33;5,4;0,4;Eher nicht empfehlenswert
Chicken Nuggets;241;11;1,5;21;0,5;14;0,98;Eher nicht empfehlenswert
Vegane Leberwurst;345;33;23;5,8;1,6;5,7;1,6;Eher empfehlenswert
Erdbeerjoghurt;93;2,8;1,8;14;13;3;0,1;Eher nicht empfehlenswert
Salatgurke;12;0,1;0;3,6;1,7;0,7;0,002;Eher empfehlenswert
Bretzel;295;5,4;0,3;51;2,7;8,9;2,08;Eher empfehlenswert
Brokkoli;43;0,2;0,05;2,9;1,7;4;0,02;Eher empfehlenswert
Schokomüsli;406;11,3;4,7;60,7;22,2;10,7;0,25;Eher nicht empfehlenswert
Waffel;459;24,3;12,7;53;33,8;7,5;0,3;Eher nicht empfehlenswert
Butter;743;82;55;0,7;0,7;0,6;0,01;Eher nicht empfehlenswert
Schwarzwälder Schinken;226;14;5,6;0,8;0,2;24;5,5;Eher empfehlenswert
Haferflocken;368;7;1,5;58,7;0,7;13,5;0,02;Eher empfehlenswert
Paprika;43;0,5;0,04;6,4;6,4;1,3;0,2;Eher empfehlenswert
Kartoffel;71;0,1;0;15;0,8;1,7;2;Eher empfehlenswert
Vollmilchschokolade;530;29,5;17,5;58,5;57,5;6,6;0,2;Eher nicht empfehlenswert
Champignongs;22;0,5;0;0,1;0;3,1;0;Eher empfehlenswert
Ketchup;101;0,5;0,1;20;19;1,7;1,8;Eher nicht empfehlenswert
Majonäse;721;79,3;10;0,2;0,2;1,2;0,8;Eher nicht empfehlenswert
Senf;119;7,3;1,5;3,8;1,9;6,7;3,9;Eher empfehlenswert
Walnüsse;723;70;6,6;6;5;16;0,002;Eher empfehlenswert
Sahnebonbons;424;8,4;5,7;86,9;71,6;0,3;1;Eher nicht empfehlenswert
Putenbrustfilet (gebraten);111;1,7;0,6;0;0;24;0,2;Eher empfehlenswert
Datteln;279;0,2;0,1;73;60;2,2;0,001;Eher empfehlenswert
Avocado;160;13;2,8;2;0,7;1,5;0,07;Eher empfehlenswert
Margarine;720;80;23;0;0;0;0,2;Eher empfehlenswert
Bitterschokolade;582;43;26;37;29;6,7;0,001;Eher nicht empfehlenswert
Zucchini;19;0,4;0,1;2,2;1,6;1,6;0;Eher empfehlenswert
Räucherlachs;193;13;2,6;0;0;19;3;Eher empfehlenswert
Himbeermarmelade;223;0,2;0;52,2;51,7;0,7;0,03;Eher nicht empfehlenswert
Tomate;19;0,1;0;3,5;3,2;0,7;0;Eher empfehlenswert
Doppelkeks;470;18,5;8,6;68,7;32,4;5,4;0,4;Eher nicht empfehlenswert
